a	art.一(个) 每
tight	adj.紧的 紧身的 严厉的 密集的 拮据的 adv.紧紧地 牢固地迅速地
till	prep. & conj.直到...为止 vt.耕作 n.放钱的抽屉 冰碛
timber	n.木材 木料
time	n.时间 时机 次数 回 倍 vt.为...安排时间 计时 定时 乘 v.[计算机]DOS命令 显示并允许改变系统时间 adj.根据时间的 时间上的

单词	释义
timetable	n.时间表 时刻表 课程表
timid	adj.胆怯的 羞怯的
tin	n.锡 罐头 听头 adj.锡制的 vt.镀锡于
tiny	adj.微小的 极小的
tip	n.梢 末端 尖 尖端 小费 提示 轻击 翻倒 倾斜 vi.给小费 装顶端 去掉...的顶部 倾斜 翻倒 vt.轻击
tire	vi.疲劳 累 厌倦 vt.使疲倦 厌烦n.轮胎 金属圈
tired	adj.疲劳的 疲倦的 累的 厌倦的 装备以轮胎的 动词tire的过去式和过去分词形式
tissue	n.薄绢 薄纸 (生物的)组织 织物 纸巾
title	n.标题 题目 称号 头衔 称号 vt.予称号 加标题于 adj.标题的
to	prep.(表示方向)到 向 达到 (表示间接关系)给 离 对于 为了 adv.(表示方向)去 (门)关上
toast	n.烤面包 吐司 祝酒 祝酒词 被祝酒的人 vt.烘 烤 vi. (为... )祝酒
tobacco	n.烟草 烟叶
today	adv.在今天 现在 当今 n.今天 当今 adj.现在的
toe	n.脚趾 足尖 vt.趾触 趾踢 vi.踮着脚尖走
together	adv.共同 一起 adj.妥当的 镇定的
toilet	n.厕所 盥洗室 浴室 梳洗打扮 礼服 创口洗涤 v.打扮 使用厕所
tolerance	n.忍受 容忍 忍耐力 宽容 公差
tolerate	vt.忍受 容忍 宽恕
tomato	n.番茄 西红柿
tomb	n.坟 冢 vt.埋葬
tomorrow	adv.在明天 n.明天 将来
ton	n.吨 大量
tone	n. 音 腔调 声调 音调 语气 品质 色调 vt. 使更健壮 装腔作势地说 定调 调色 vi.调和(颜色) 呈现悦目色调
tongue	n.舌 舌头 舌状物 语言 口才 v.舔 用舌吹奏管乐器 发音
tonight	adv.在今夜 n.今夜
too	adv.也 还 太 过分 很
tool	n.工具 器具 用具 手段 被利用者 印压的图案 vt.用工具加工 vi.使用工具
tooth	n.牙齿 齿状物 粗糙表面 嗜好 (复)teeth [ti:θ]：有效手段
top	n.顶 顶部 首位 adj.顶的 最高的 顶端的 v.高过 加顶 高耸
topic	n.题目 论题 话题
torch	n.火炬 火把 手电筒 纵火犯 v.用火炬点燃
torrent	n.奔流 激流 洪流 ft洪adj.奔流的 汹涌的
tortoise	n.龟 乌龟
torture	n.拷问 折磨 痛苦 vt.拷打 拷问 使痛苦 曲解
toss	vt. & vi.扔 抛 掷 投掷 摇荡 辗转 n.投掷 震荡
total	adj.总的 全体的 完全的 vi.合计 总共 n.总数 合计
touch	vt.触摸 触动 吃 喝 触及 感动 vi.接触 联系 n.触 触觉 接触 少许 痕迹 修饰
tough	adj.坚韧的 健壮的 强硬的 艰苦的 棘手的 严厉的 adv.以强硬的态度 n.暴徒 恶棍

单词	释义
tour	n. & vi.旅行 游历 旅游 周游 观光 巡回
tourist	n.旅游者 观光者
toward	prep.向 对于 接近 关于 将近 朝 adj.有希望的 有利的 逼近的
towards	prep.向 朝 关于 adj.在即的 有希望的 = toward
towel	n.毛巾 手巾 v.用毛巾擦
tower	n.塔 高楼 vi.屹立 高耸
town	n.镇 市镇 城镇 城市
toy	n.玩具 玩物 adj.供玩耍的 玩具的 v.玩弄
trace	n.痕迹 踪迹 微量 丝毫 vt.跟踪 追踪 找出根源 描绘 vi.追踪
track	n.行踪 踪迹 路径 轨道 小路 跑道 惯例
tractor	n.拖拉机 牵引车 螺旋桨飞机
trade	n.贸易 交易 买卖 职业 vi.交易 进行交易 做买卖 交换 adj.贸易的 商业的
tradition	n.传统 惯例
traditional	adj.传统的 惯例的
traffic	n.交通 通行 (人或车等)交通流量 不正当生意(走私) v.做生意(多指违法的) 游览
tragedy	n.悲剧 惨事 惨案 灾难
trail	n.痕迹 踪迹 小径 尾 vt.跟踪 追踪 拖拽 vi.拖 尾随 追踪落后于
train	vt.培养 训练 培训 n.列车 火车 队列 行列 一系列
training	n.训练 锻炼 培养 动词train的现在分词和动名词形式
traitor	n.叛徒 卖国贼 出卖朋友者
tram	n.(有轨)电车 矿车 煤车 缆车 (复数)trams：有轨电车轨道vt.用缆车 电车等运输
tramp	n.流浪者 游民 重步声 v.践踏 重步行走
transfer	vt. & vi.转移 调动 调转 调任 n.迁移 移动 换车
transform	vt.改变 改造 变换 转换 变形 vi.改变 n.变形
transformation	n.变化 改造 转变 转型 转化
transformer	n.变压器 转换器
transistor	n.晶体管 晶体管收音机
translate	vt. & vi.翻译 译 解释 转移 调动
translation	n.翻译 译文 译本 RNA的转录 平移
transmission	n.传送 传动 发射 播送 变速器 传递的信息
transmit	vt.传送 传达 发射 传输 代代相传 vi.(以无线电或有线电的方式)发送信号
transparent	adj.透明的 易识破的 明显的 清晰的
transport	vt.运输 流放 为强烈的情绪所激动 n.运输、运输工具 (常用复数)强烈的情绪(狂喜或狂怒)
transportation	n.运输 运送 客运 运输系统 运输工具
trap	n.陷阱 诡计 圈套 困境 双轮轻便马车 vt.诱骗 设圈套 陷入 (困境)
travel	vt. & vi. & n.旅行 传播 移动
tray	n.(浅)盘 托盘 碟
treason	n.谋反 通敌 叛国罪 叛逆 背叛
treasure	n.财富 珍宝 vt.珍视

单词	释义
treat	vt.对待 处理 治疗 请客 视为 n.款待 宴飨
treatment	n.待遇 对待 处理 治疗 疗法
treaty	n.条约 协议 协定
tree	n.树 树状物 vt.把…赶上树 使…走投无路
tremble	vi.发抖 哆嗦 摇动 战悚 忧虑 微动 n.战悚 颤抖
tremendous	adj.极大的 非常的 巨大的 惊人的
trend	vi.伸向 倾向 转向 n.趋势 倾向 方位
trial	n.试 试验 试用 审判 讯问 审讯 尝试 努力 讨厌的事 人 adj.尝试性的 审讯的
triangle	n.三角(形)
tribe	n.部落 宗族 种族 一伙人
trick	n.诡计 欺诈 把戏 诀窍 vt.哄骗 戏弄 欺骗 adj.有诡计的 有阴谋的
trifle	n.小事 琐事 少许 少量 v.浪费 玩忽
trim	adj.整齐的 匀称的 vt.使整齐 使整洁 修除 削剪 装备 痛打击败 n.整齐 装饰 修剪下来的部分
trip	vi. 绊 绊倒 失足 轻快地走 失误 结巴 旅行 vt. 绊倒 使跌倒 使犯错 使失败 起锚 竖帆 n. 旅行 摔倒 差错 轻快的步伐
triumph	n.凯旋 胜利 欢欣 vi.成功 得胜 庆功
troop	n.军队 一群 组 大量 vi.群集 结队 成群前行
tropical	adj.热带的 炎热的 热带植物的
trouble	n.烦恼 困难 烦恼 vi.烦恼 麻烦 苦恼 费神
troublesome	adj.令人烦恼的 麻烦的 讨厌的 困难的 棘手的
trousers	n.裤子 长裤
truck	n.卡车 载重汽车 对...进行交易 来往 实物工资 v.以货易货交往 以卡车运输
true	adj.真的 真实的 忠实的 adv.真实地 n.真相 精确 vt.使...平衡
truly	adv.真正地 忠实地 真实地 真诚地 正确地
trumpet	n.喇叭 小号 喇叭声 喇叭手 vt.宣扬 鼓吹 吹嘘 vi.吹喇叭发出喇叭似的声音
trunk	n.树干 大衣箱 皮箱 躯干 干线 象鼻 (汽车后部)行李箱 (复)trunks：男用运动裤
trust	n.信任 信托 vt.相信 委托 vi.信任
truth	n.真理 真实 真实性 真像 事实
try	vt.试 尝试 试验 审问 审判 考验 vi.尝试 试验 n.尝试 试验
tub	n.桶 盆 浴缸 浴盆 v.装入桶 洗澡
tube	n.管 管状物 电子管 显像管 电视 地铁 气管
tuck	vt.折短 卷起 塞 打摺 挤进 畅饮 vi.缝褶裥 缩拢 畅饮 n.缝摺 船尾突出部下方 食品 鼓声
Tuesday	n.星期二
tuition	n.教 教诲 教学 学费
tumble	vi.摔倒 跌倒 打滚 下跌 倒塌 翻跟斗 偶然发现 理解 vt.使摔倒 使混乱 翻滚 n.跌倒 混乱
tune	n.调子 和谐 曲调 协调 调整 vt.调整 为...调音 vi.和谐 调音
tunnel	n.隧道 坑道 地道 v.挖隧道 挖地道
turbine	n.叶轮机 汽轮机 涡轮

单词	释义
turbulent	adj.骚动的 骚乱的 狂暴的 动荡的 汹涌的
turkey	n.火鸡 火鸡肉 笨蛋 失败之作Turkey：土耳其
turn	vt.转 翻 vi.转动 旋转 转向 轮流 翻转 n.转动 轮流
turning	n.旋转 回转 转向 变向 转弯处
turnip	n.萝卜 芜菁 大头菜 <俚>大怀表
tutor	n.家庭教师 导师 v.当家庭教师 当导师 指导
twelfth	num.第十二 adj.第十二的 十二分之一的 n.第十二 十二日 第十二音
twelve	num.十二 十二个
twentieth	num.第二十 n.二十分之一adj.第二十的
twenty	num.二十 二十个
twice	adv.两次 两倍
twin	adj.孪生的 n.孪生儿 双胞胎之一
twinkle	vi.闪烁 闪耀 使...闪耀 眨眼 迅速移动 n.闪烁 闪耀 眨眼瞬息
twist	vt. & vi.拧 捻 搓 扭曲 弯曲 n.扭曲 弯曲 盘旋 捻 拧
two	num.二 两个
type	n.型 类型 种类 典型 铅字 vi.打字
typewriter	n.打字机 打字员
typhoon	n.台风
typical	adj.典型的 代表性的 特有的 独特的
typist	n.打字员
tyre	n.轮胎 车胎 =tire(美) Tyre：提尔(古代腓尼基的有名港口现属黎巴嫩)
ugly	adj.丑陋的 难看的 可怕的
ultimate	adj.最后的 最终的 终极的 根本的 极限的 n.终极 根本 精华
ultimately	adv.最终 最后
umbrella	n.伞 雨伞 adj.像伞状分布的 vt.(用伞)遮住
unable	adj.不能的 不会的
unbearable	adj.难堪的 忍受不了的
uncertain	adj.无常的 不确定的
uncle	n.伯父 叔父 舅父 姨父 姑父 伯 舅 叔
uncomfortable	adj.不舒服的 不自在的
unconscious	adj.不省人事的 失去知觉的
uncover	vt.揭开(...的盖子) 揭露
under	prep.在...下面 低于 在...内 在...控制下 adv.在...下 在昏迷中 adj.下面的 从属的 少于的
undergo	vt.经历 经受 忍受 遭受
undergraduate	n.大学肆业生 大学生 adj.大学生的 大学的
underground	adj.地下的 秘密的 adv.在地下 秘密地 n.地下 地铁 地道 秘密活动
underline	vt.划线于...之下 在...下面划线
underneath	adv.在下面 在底下 n.下部 底部 prep.在...下面
understand	vt.获悉 理解 听说 将...理解为 认为 vi.懂得 理解 获悉
understanding	n.理解 理解力 协定 了解 个人见解 非正式协议 谅解 同情心洞察力 adj.有同情心的
undertake	vt.从事 承担 保证 答应

单词	释义
undertaking	n.任务 事业 企业 保证 许诺
undo	vt.解开 打开 松开 取消
undoubtedly	adv.无容置疑 肯定地
uneasy	adj.心神不安的 忧虑的 不自在的 不稳定的 不舒服的
unexpected	adj.想不到的 意外的
unfair	adj.不公平的 不公正的 (商业上)不正当的
unfortunate	adj.不幸的 可取的 令人遗憾的 不成功的 n.不幸的人
unfortunately	adv.不幸地
unhappy	adj.不幸福的 不快乐的
uniform	adj.一样的 一致的 统一的 n.制服 vt.穿制服 使统一
union	n.联合 团结 协会 结合 政党 工会 连接轴 adj.联邦政府的工会的
unique	adj.唯一的 独一无二的 独特的 稀罕的
unit	n.单位 单元 部件 组件
unite	vi.联合 合并 统一 团结 vt.使联合
unity	n.单一 统一 团结 个体 一致 结合
universal	adj.宇宙的 普遍的 通用的 全体的 全世界的 n.通用
universe	n.宇宙 世界 万物
university	n.大学 综合性大学
unjust	adj.非正义的 不公平的
unkind	adj.不仁慈的 不和善的 无情的 不厚道的
unknown	adj.不知道的 未知的 不出名的
unless	conj.除非 如果不 prep.除...外
unlike	adj.不同的 不相似的 prep.不象... 和...不同
unlikely	adj.未必的 未必可能的
unload	vt.卸(货) 卸下 摆脱...之负担 (大量)倾销 vi.卸货 摆脱负担 退出(弹药 胶片等)
unlucky	adj.不幸的 不吉的 倒霉的
unnecessary	adj.不必要的 多余的
unpleasant	adj.令人不快的 讨厌的
unsatisfactory	adj.不能令人满意的
unstable	adj.不稳固的 不稳定的 易变的
unsuitable	adj.不合适的 不适宜的
until	prep. & conj.直到...为止
unusual	adj.不平常的 独特的 异常的
unusually	adj.不平常地 非常 异乎寻常地 显著地
unwilling	adj.不愿意的
up	adv.向上 起床 起来 往上 上升 prep.向上 adj.向上的 上行的 n.上升 v.上升 增加
upon	prep.在...上 在...旁
upper	adj.上面的 地位较高的 上部的 较高的 n.鞋帮 上铺 n.兴奋剂 令人兴奋的经历
upright	adj.垂直的 正直的 诚实的 合乎正道的
upset	vt.弄翻 打翻 倾覆 推翻 扰乱 使心烦 adj.心烦的 苦恼的 不安的 n.推翻 混乱
upside-down	adj.颠倒的 乱七八糟的
upstairs	adv.在楼上 往楼上 高水平地 上层地 头脑上地 adj.楼上的 n.楼上

单词	释义
up-to-date	adj.直到最近的 现代的 最新的
upward	adj.向上的 上升的 adv.向上 上升
upwards	adv.趋向上升 以上 往上 向上地
urge	vt.推进 催促 驱策 鼓励 力陈 催促 vi.极力主张 n.冲动
urgent	adj.紧急的 强求的 坚持要求的 急迫的
us	pron.( we的宾格)我们
usage	n.使用 用法 对待 惯用法 习惯
use	vt.用 使用 利用 耗费 对待 v.<口>吸(烟) 服用(毒品) n.用运用 用法 使用权 价值
used	vi.过去常常 adj.使用过的 二手的 习惯的 动词use的过去式和过去分词
useful	adj.有用的 有益的 实用的
useless	adj.无用的 无价值的 无效的
user	n.用户 使用者
usual	adj.通常的 平常的 惯常的 惯例的
usually	adv.通常
utility	n.效用 实用 实用品 公共设施 公用程序 adj.多效用的 多功能的
utilize	vt.利用
utmost	adj.最远的 极度的 n.极限 最大可能
utter	adj.完全的 彻底的 全然的 绝对 vt.发出 作声 发表 说 讲
vacant	adj.空的 空虚的 木然的 未被占用的
vacation	n.假期 休假 腾出 vi.度假
vacuum	n.真空 空间 真空吸尘器 adj.真空的 产生(利用)真空的 v.用吸尘器打扫
vague	adj.模糊的 含糊的 不明确的 犹豫不决的 茫然的
vain	adj.徒劳的 无效的 自负的 虚荣的
valid	adj.有效的 有根据的 正当的 合法的
valley	n.(ft)谷 溪谷 流域 adj.流域 ft谷 峡谷
valuable	adj.值钱的 有价值的 n.(pl.)贵重物品
value	n.价值 重要性 价格 (pl)价值观 vt.评价 估价 重视
van	n.大篷车 运货车 面包车 vt.(用货车)运 n.前卫 前锋 n.翼
vanish	vi.突然不见 消失 绝迹 vt.消失
vanity	n.虚荣心 虚夸 浮华 无价值的东西 adj.虚荣心的
vapour	n.汽 蒸气 雾气 v.蒸发 吹嘘 =vapor(英)
variable	adj.易变的 可变的 n.变量 易变的东西
variation	n.变化 变动 变异 变种 变奏曲
variety	n.多样化 种类 变种 杂耍
various	adj.各种各样的 不同的
vary	vt.改变 变化 使多样化
vase	n.瓶 花瓶
vast	adj.巨大的 大量的 广阔的 n.浩瀚的太空
vegetable	n.植物 蔬菜 植物人adj.蔬菜的 植物的
vehicle	n.车辆 机动车 交通工具 手段 工具 传播媒介
veil	n.面纱 面罩 遮蔽物 掩饰物 修女 vt.给...戴面纱或面罩 vi.带面纱或面罩
velocity	n.速度 速率 迅速

单词	释义
velvet	n.丝绒 天鹅绒 adj.天鹅绒的
venture	n. & vi.冒险 风险 投机 vt.敢于 尝试 谨慎地做 冒险一试
verb	n.动词
verify	vt.证实 查证 证明 核实
version	n.译文 说法 改写本 版本 译本 形式
vertical	a.垂直的 竖式的 顶点的 纵向的 n.垂直物 垂直的位置
very	adv.很 完全 真正地 adj.真的 真正的 同一的 仅仅的 恰好的
vessel	n.容器 器皿 船 飞船 管 脉管 血管 [植]导管
vest	n.汗衫 背心 马甲 内衣 vt.授予 给予 使穿衣 vi.(权力、财产等)归于 穿衣服
veteran	n.老兵 老手 adj.老练的
vex	vt.使烦恼 使恼火 恼怒
via	prep.经过 通过
vibrate	vt.使颤动 (使)振动 (使)摇摆vi.颤动 回响
vibration	n.颤动 振动 摆动
vice	n.罪恶 恶习 缺点 邪恶 老虎钳 adj.副的 代理的 prep.代替
victim	n.牺牲者 受害者 牺牲
victorious	adj.胜利的 得胜的
victory	n.胜利 战胜 成功
video	adj.电视的 视频的 录像的n.电视 视频 录像
view	n.看 视力 风景 视野 见解 方法 检查
viewpoint	n.观点 看法 见解
vigorous	adj.朝气蓬勃的 精力充沛的 元气旺盛的 有力的
village	n.乡村 村庄
vine	n.葡萄树 攀爬植物 藤 蔓
vinegar	n.醋
violence	n.猛烈 激烈 暴力 强暴 暴行
violent	adj.猛烈的 狂暴的 暴力的 极端的
violet	n.紫罗兰 紫色 adj.紫色的
violin	n.小提琴
virtually	ad.v实际上 事实上 几乎
virtue	n.善 美德 优点 德行 贞操
visible	adj.可见的 看得见的 n.可见物
vision	n.视力 视觉 眼力 想象力 梦幻 幻觉 vt.幻想 设想
visit	vt. & n.访问 参观 拜访 探访
visitor	n.访问者 游客 参观者
visual	adj.看的 看得见的, 视觉的 n.画面 图象
vital	adj.生命的 有生命力的 至关重要的 生死攸关的 有活力的
vitamin	n.维生素 维他命
vivid	adj.鲜艳的 生动的 栩栩如生的
vocabulary	n.词汇表 词汇 语汇 词汇量
voice	n.说话声 声音 嗓音 意见 [语]语态 意见 发言权 vt.表达 发音 调整声音
volcano	n.火ft
volleyball	n.排球 排球运动
volt	n.(电压单位)伏特 伏 voltage ['vəultidʒ] n.电压
volume	n.卷 册 容积 体积 音量

单词	释义
voluntary	adj.自愿的 志愿的 n.(教堂礼拜仪式前后或进行期间的)乐器独奏
vote	n.选举 投票 表决 投票结果 选举权 v.投票 选举 表决
voyage	n. & vi.航海 航空 航行 旅行 旅程
wage	n.工资 报酬 vt.从事 开展 进行(战争、运动)
waggon	n.四轮运货马车 敞篷货车 =wagon(美)
waist	n.腰 腰部
wait	vi.等 等候 n.等待 等候 公共乐队队员 沿街唱圣诗的人们
waiter	n.侍者 (男)服务员 托盘
wake	vi.醒 醒来 vt.唤醒 n.清醒 守夜
waken	vi.醒来 vt.弄醒 动词wake的过去分词
walk	vi.步行 散步 走 vt.陪...走 走过 使行走 n.散步 步行 人行道
wall	n.墙 壁 围墙 城墙 墙状物 vt.用墙围住 用墙隔开 v.演戏般地转动(眼睛)
wallet	n.钱包 皮夹子
wander	vi.漫游 迷路 离题 徘徊 漫步 闲逛 蜿蜒 vt.漫步于 n.漫游闲逛 徘徊
want	vt.要 想要 n.需要 缺乏 需求品
war	n.战争 冲突 斗争 竞争 vi.作战 斗争
warm	adj.温暖的 暖和的 热烈的 热情的 v.使暖和 变暖 adv.温暖地
warmth	n.暖和 温暖 热烈 热情 热心
warn	vt.警告 告诫 预先通知 vi.发生警告
wash	vt.洗 冲出 vi.洗涤 洗清 n.洗 洗濯 (美国西部)干河床
waste	n.浪费 垃圾 荒地 v.浪费 滥用 消耗 adj.浪费的 无用的 荒芜的
watch	vt. & vi.观看 注视 看守 n.手表 看管 监视
water	n.水 雨水 海水 海域 vt.使湿 灌溉 给...浇水 给...供水 加水稀释 形成水 喝水
waterfall	n.瀑布
waterproof	adj.不透水的 防水的 n.防水材料 (英)雨衣 vt.使...能防水
wave	n.波 波涛 波浪 波纹 vi.波动 挥动 飘动
wavelength	n.波长 波段
